"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2013_07","5","","","","230","13","1422","1","","0","","","","","1343","36","","2","","","","141","618","2","303","14","24","","1301","13","","","210","17","","","89","","","","","308","","","","","957","1","27","184","","","","","254","20","23","13","383","269","93","119","592","9027"
"2013_08","11","","","","212","17","1558","0","","2","","","","","1549","50","","1","","","","201","539","2","243","18","33","","1010","24","","","202","13","","","137","","","","","213","","","","","1209","0","30","193","","","","","176","68","33","25","418","279","84","199","609","9358"
"2013_09","18","","","","221","19","1332","2","","7","","","","","1317","31","","3","","","","130","512","3","284","21","16","","1084","17","","","188","6","","","83","","","","","218","","","","","1243","1","53","171","","","","","170","91","45","26","364","302","84","120","516","8698"
"2013_10","11","","","","263","23","1525","0","","1","","","","","1659","54","","4","","","","182","625","3","335","29","60","","1289","14","","","275","6","","","103","","","","","262","","","","","1218","4","73","233","","","","","214","102","40","13","412","300","96","170","641","10239"
"2013_11","9","","","","278","16","980","1","","2","","","","","1177","20","","3","","","","198","431","3","354","42","23","","1007","11","","","262","18","","","68","","","","","208","","","","","733","11","17","191","","","","","159","29","40","17","270","230","79","158","532","7577"
"2013_12","16","","","","307","13","1051","0","","0","","","","","1005","26","","1","","","","159","432","6","356","46","22","","1039","11","","","276","11","","","39","","","","","213","","","","","834","6","25","166","","","","","168","35","26","16","254","240","83","134","430","7446"
"2014_01","19","","","","289","23","1353","0","","1","","","","","1609","107","","5","","","","242","597","9","428","57","35","","1318","14","","","260","6","","","59","","","","","327","","","","","1036","4","38","188","","","","","218","92","54","17","353","282","99","188","587","9914"
"2014_02","10","","","","281","5","1150","1","","3","","","","","1350","59","","1","","","","167","603","5","427","33","18","","1223","12","","","285","17","","","60","","","","","249","","","","","924","4","50","181","","","","","239","41","65","16","323","230","88","137","449","8706"
"2014_03","11","","","","253","21","1346","0","","0","","","","","1484","45","","4","","","","236","536","4","346","40","43","","1587","14","","","343","11","","","62","","","","","354","","","","","942","4","57","190","","","","","349","39","60","18","373","271","98","235","466","9842"
"2014_04","12","","","258","","14","1468","0","","3","","","","","1500","32","","0","","","","162","646","8","271","38","49","","1558","22","","","385","6","","","81","","","","","326","","","","","1017","62","50","203","","","","","202","64","37","18","347","260","97","166","520","9882"
"2014_05","14","","","195","","19","1818","0","","7","","","","","2124","44","","3","","","","264","863","7","242","43","81","","2150","14","","","789","9","","","89","","","","","516","","","","","1377","7","234","200","","","","","182","22","52","15","355","316","77","365","574","13067"
"2014_06","14","","","152","","24","1474","0","","3","","","","","1551","43","","0","","","","188","746","5","107","19","41","","1324","15","","","420","6","","","90","","","","","390","","","","","1211","5","45","191","","","","","121","58","47","20","323","264","74","205","510","9686"
"2014_07","22","","","176","","6","1297","1","","14","","","","","1485","52","","8","","","","230","840","4","166","21","89","","1704","24","","","474","6","","","136","","","","","463","","","","","917","1","103","221","","","","","162","42","40","12","334","239","99","327","538","10253"
"2014_08","10","","","152","","15","1464","1","","1","","","","","1588","42","","1","","","","203","812","5","93","29","67","","1573","19","","","478","12","","","103","","","","","353","","","","","1030","1","67","195","","","","","126","29","49","10","273","251","66","233","591","9942"
"2014_09","10","","","149","","8","1116","1","","2","","","","","1242","28","","1","","","","174","638","7","110","17","75","","1232","18","","","400","12","","","60","","","","","329","","","","","770","82","89","209","","","","","110","45","34","3","281","213","73","187","428","8153"
"2014_10","15","","","153","","14","1376","14","","0","","","","","1561","28","","11","","","","276","823","10","132","26","71","","1392","22","","","603","17","","","126","","","","","290","","","","","924","78","117","188","","","","","212","64","53","12","270","247","63","292","510","9990"
"2014_11","9","","","118","","9","932","18","","0","","","","","1415","26","","9","","","","225","545","8","150","41","72","","1123","15","","","381","15","","","92","","","","","207","","","","","587","10","337","148","","","","","300","37","41","8","263","189","69","247","433","8079"
"2014_12","5","","","56","","4","471","7","","1","295","691","","","","9","","2","","","","94","","1","56","16","14","","544","4","","","227","3","","","39","","","","","84","","","","","334","12","37","56","","","","","120","21","12","5","84","99","24","77","162","3666"
